,Paper Title,Author,Affiliation,Conference,Year,Link to Paper,Link for Code,Available,ReadMe,RepoGoal,TrainedModel,Out-of-box,Runs,Output,Data_Available,Train/test,Reason,Model Used,Hyperparameters,Training Described
10,"WebWitness: Investigating, Categorizing, and Mitigating
Malware Download Paths","Terry Nelms, Roberto Perdisci, Manos Antonakakis, and Mustaque Ahamad",1.0,Usenix,2015,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-nelms.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,random forest algorithm,0.0,0.0
11,"Vulnerability Disclosure in the Age of Social Media:
Exploiting Twitter for Predicting Real-World Exploits","Carl Sabottke, Octavian Suciu,
Tudor Dumitras",0.0,Usenix,2015,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-sabottke.pdf,http://www.osuciu.umiacs.io/usenix15data/#,4,-1,1,-1,-1,1,-1,3.0,0.0,2.0,SVM Classifier,2.0,2.0
12,"Needles in a Haystack:
Mining Information from Public Dynamic Analysis
Sandboxes for Malware Intelligence","Mariano Graziano,
Davide Canali,
Leyla Bilge,
Andrea Lanzi,
Davide Balzarotti",1.0,Usenix,2015,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-graziano.pdf,,0,-1,-1,-1,-1,-1,-1,3.0,1.0,-1.0,logistic model tree (logistic regression + decision tree),2.0,2.0
13,Recognizing Functions in Binaries with Neural Networks,"Eui Chul Richard Shin, Dawn Song, and Reza Moazzezi",0.0,Usenix,2015,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-shin.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,a recurrent neural network,2.0,2.0
14,"VCCFinder: Finding Potential Vulnerabilities in
Open-Source Projects to Assist Code Audits","Henning Perl,
Sergej Dechand,
Matthew Smith, Daniel Arp,
Fabian Yamaguchi,
Konrad Rieck, Sascha Fahl,
Yasemin Acar",0.0,CCS,2015,https://dl.acm.org/doi/pdf/10.1145/2810103.2813604,https://github.com/hperl/vccfinder,3,0,0,0,0,-1,0,8.0,0.0,0.0,SVM Classifier,2.0,2.0
15,Seeing Your Face Is Not Enough: An Inertial Sensor-Based Liveness Detection for Face Authentication,"Yan Li, Yingjiu Li, Qiang Yan, Hancong Kong, Robert H. Deng",0.0,CCS,2015,https://dl.acm.org/doi/pdf/10.1145/2810103.2813612,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,"Bayesian network (BN), BLR (Binomial logistic regression), and MLP (Multilayer perceptron)",0.0,0.0
16,"Mitigating Storage Side Channels
Using Statistical Privacy Mechanisms","Qiuyu Xiao,
Michael K. Reiter,
Yinqian Zhang",0.0,CCS,2015,https://dl.acm.org/doi/pdf/10.1145/2810103.2813645,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,SVM,1.0,1.0
17,"Unearthing Stealthy Program Attacks
Buried in Extremely Long Execution Paths","Xiaokui Shu, Danfeng (Daphne) Yao, Naren Ramakrishnan",0.0,CCS,2015,https://dl.acm.org/doi/pdf/10.1145/2810103.2813654,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,Customized clustering algorithms,2.0,2.0
18,CrowdTarget: Target-based Detection of Crowdturfing in Online Social Networks,"Jonghyuk Song, Sangho Lee, Jong Kim",0.0,CCS,2015,https://dl.acm.org/doi/pdf/10.1145/2810103.2813661,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,"Ada Boost,
Gaussian naive Bayes, and k-nearest neighbors",1.0,1.0
19,"When Good Becomes Evil: Keystroke Inference with
Smartwatch","Xiangyu Liu, Zhe Zhou, Wenrui Diao, Zhou Li, Kehuan Zhang",0.0,CCS,2015,https://dl.acm.org/doi/pdf/10.1145/2810103.2813668,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,K-Nearest Neighbor (k-NN),2.0,2.0
20,"Model Inversion Attacks that Exploit Confidence Information
and Basic Countermeasures","Matt Fredrikson, Somesh Jha, Thomas Ristenpart",0.0,CCS,2015,https://dl.acm.org/doi/pdf/10.1145/2810103.2813677,"Recreated models found but not original author's code - 

https://github.com/AndrewZhou924/Awesome-model-inversion-attack

https://github.com/yashkant/Model-Inversion-Attack",5,2,1,0,1,1,0,,1.0,-1.0,"Decision trees, Neural Network",2.0,2.0
21,Privacy-Preserving Deep Learning,"Reza Shokri, Vitaly Shmatikov ",0.0,CCS,2015,https://dl.acm.org/doi/pdf/10.1145/2810103.2813687,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,DNN,2.0,2.0
22,AUTOREB: Automatically Understanding the Review-to-Behavior Fidelity in Android Applications,"Deguang Kong, Lei Cen, Hongxia Jin",2.0,CCS,2015,https://dl.acm.org/doi/pdf/10.1145/2810103.2813689,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,sparse SVM model,1.0,2.0
23,Seeing through Network-Protocol Obfuscation,"Liang Wang, Kevin P. Dyer, Aditya Akella, Thomas Ristenpart, Thomas Shrimpton",0.0,CCS,2015,https://dl.acm.org/doi/pdf/10.1145/2810103.2813715,https://github.com/liangw89/obfs-detection,3,2,0,0,0,0,0,0.0,0.0,0.0,5 classifiers,1.0,2.0
24,"The Dropper Effect: Insights into Malware Distribution with
Downloader Graph Analytics","Bum Jun Kwon, Jayanta Mondal, Jiyong Jang, Leyla Bilge, Tudor Dumitraș",1.0,CCS,2015,https://dl.acm.org/doi/pdf/10.1145/2810103.2813724,,0,-1,-1,-1,-1,-1,-1,8.0,-1.0,0.0,random forest classifiers,2.0,2.0
25,"Parking Sensors:
Analyzing and Detecting Parked Domains","Thomas Vissers, Wouter Joosen and Nick Nikiforakis",0.0,NDSS,2015,https://www.ndss-symposium.org/wp-content/uploads/2017/09/01_2_2.pdf,"https://github.com/flaiming/Domain-Parking-Sensors

code found but ownership missing",5,-1,2,0,-1,-1,0,0.0,0.0,0.0,random forest classifiers,0.0,1.0
26,Machine Learning Classification over Encrypted Data,"Raphael Bost, Raluca Ada Popa, Stephen Tu, Shafi Goldwasser",0.0,NDSS,2015,https://www.ndss-symposium.org/wp-content/uploads/2017/09/04_1_2.pdf,https://github.com/rbost/ciphermed,3,2,0,0,1,2,1,7.0,1.0,-1.0,"SVM, Naïve
Bayes, and decision trees",0.0,0.0
27,Preventing Lunchtime Attacks: Fighting Insider Threats With Eye Movement Biometrics,"Simon Eberz, Kasper B. Rasmussen, Vincent Lenders, Ivan Martinovic",,NDSS,2015,https://www.ndss-symposium.org/wp-content/uploads/2017/09/08_3_1.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,1.0,knn and SVM,2.0,2.0
28,"Stack Overflow Considered Helpful! Deep Learning
Security Nudges Towards Stronger Cryptography","Felix Fischer, Huang Xiao
, Ching-Yu Kao
, Yannick Stachelscheid, Benjamin Johnson, Danial Razar
Paul Fawkesley
, Nat Buckley
, Konstantin Bottinger 

, Paul Muntean, Jens Grossklags",1.0,Usenix,2019,https://www.usenix.org/system/files/sec19-fischer.pdf,,0,-1,-1,-1,-1,-1,-1,7.0,0.0,-1.0,"SVM, NN",1.0,2.0
29,Towards the Detection of Inconsistencies in Public Security Vulnerability Reports,"Ying Dong
, Wenbo Guo, Yueqi Chen
,
Xinyu Xing, Yuqing Zhang
, and Gang Wang",1.0,Usenix,2019,https://www.usenix.org/system/files/sec19-dong.pdf,"
https://github.com/pinkymm/inconsistency_detection",1,1,0,0,0,0,1,7.0,1.0,-1.0,"deep learning based - NER, RE model",2.0,2.0
30,Robust Website Fingerprinting Through the Cache Occupancy Channel,"Anatoly Shusterman, Lachlan Kang,; Yarden Haskal ,Yosef Meltser, Prateek 
Mittal, Yossi Oren, Yuval Yarom",1.0,Usenix,2019,https://www.usenix.org/system/files/sec19-shusterman.pdf,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,"DL based - CNN, LSTM classifier",2.0,2.0
31,"Xonn: XNOR-based Oblivious Deep Neural
Network Inference
","M. Sadegh Riazi ,Mohammad Samragh, Hao Chen, Kim Laine, 
,Kristin Lauter,Farinaz Koushanfar",1.0,Usenix,2019,https://www.usenix.org/system/files/sec19-riazi.pdf,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,BNN,2.0,2.0
32,"TESSERACT: Eliminating Experimental Bias in
Malware Classification across Space and Time","Feargus Pendlebury, Fabio Pierazzi, and Roberto Jordaney, Johannes Kinder, Lorenzo Cavallaro",0.0,Usenix,2019,https://www.usenix.org/system/files/sec19-pendlebury.pdf,"https://s2lab.cs.ucl.ac.uk/projects/tesseract/

request access",7,2,1,-1,-1,-1,-1,4.0,1.0,0.0,"Introduce a new metric
Tesseract open source for evaluating android malware classifiers",2.0,2.0
33,"Asm2Vec: Boosting Static Representation Robustness for Binary Clone Search
against Code Obfuscation and Compiler Optimization","Steven H. H. Ding, Benjamin C. M. Fung, Philippe Charland",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835340,"Unofficial implementation

https://github.com/oalieno/asm2vec-pytorch

https://github.com/Lancern/asm2vec",5,-1,1,0,-1,-1,0,4.0,1.0,-1.0,Paragraph vector - distributed memory (PV-DM) neural network,1.0,2.0
34,Beyond Credential Stuffing: Password Similarity Models using Neural Networks,"Bijeeta Pal, Tal Daniel, Rahul Chatterjee, Thomas Ristenpart ",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835247,https://github.com/Bijeeta/credtweak,3,2,0,0,0,0,1,7.0,1.0,-1.0,"neural network (RNN, LSTM)",2.0,2.0
35,Breaking LTE on Layer Two,"David Rupprecht, Katharina Kohls, Thorsten Holz, Christina Pöpper",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835335,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,k-nn,0.0,0.0
36,Certified Robustness to Adversarial Examples with Differential Privacy,"Mathias Lecuyer, Vaggelis Atlidakis, Roxana Geambasu, Daniel Hsu, Suman Jana",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835364,https://github.com/columbia/pixeldp,1,2,0,1,0,0,0,7.0,1.0,-1.0,DNN,2.0,2.0
37,"Characterizing Pixel Tracking through the Lens of
Disposable Email Services","Hang Hu, Peng Peng, Gang Wang",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835374,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,1.0,SVM,0.0,1.0
38,Comprehensive Privacy Analysis of Deep Learning,"Milad Nasr, Reza Shokri, Amir Houmansadr",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835245,https://github.com/privacytrustlab/ml_privacy_meter,3,1,2,-1,-1,-1,-1,4.0,1.0,-1.0,"Stochastic Gradient descent, DNN",2.0,2.0
39,"Dangerous Skills: Understanding and Mitigating
Security Risks of Voice-Controlled Third-Party
Functions on Virtual Personal Assistant Systems","Nan Zhang, Xianghang Mi, Xuan Feng, XiaoFeng Wang, Yuan Tian, Feng Qian",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835332,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,random forest classifier,0.0,1.0
40,"Data Recovery on Encrypted Databases With
k-Nearest Neighbor Query Leakage","Evgenios Kornaropoulos, Charalampos Papamanthou, Roberto Tamassia",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835292,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,k-nn,-1.0,-1.0
41,DeepSec: A Uniform Platform for Security Analysis of Deep Learning Models,"Xiang Ling, Shouling Ji, Jiaxu Zou, Jiannan Wang, Chunming Wu, Bo Li, Ting Wang",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835375,https://github.com/ryderling/DEEPSEC,3,2,0,1,1,2,1,4.0,1.0,-1.0,deep learning models,2.0,2.0
42,"Demystifying Hidden Privacy Settings
in Mobile Apps","Yi Chen, Mingming Zha, Nan Zhang, Dandan Xu, Qianqian Zhao, Xuan Feng, Kan Yuan, Fnu Suya, Yuan Tian, Kai Chen, XiaoFeng Wang, Wei Zou",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835388,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,"SVM
(uses Optunity for hyperparameter tuning)",2.0,2.0
43,Differentially Private Model Publishing for Deep Learning,"Lei Yu, Ling Liu, Calton Pu, Mehmet Emre Gursoy, Stacey Truex",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835283,https://github.com/git-disl/DP_modelpublishing,3,2,1,-1,0,0,0,4.0,1.0,-1.0,DNN + SGD,2.0,2.0
44,"Exploiting Unintended Feature Leakage
in Collaborative Learning","Luca Melis, Congzheng Song, Emiliano De Cristofaro, Vitaly Shmatikov",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835269,https://github.com/csong27/property-inference-collaborative-ml,3,1,1,0,0,0,0,4.0,1.0,-1.0,"Collaborative learning, DNNs",2.0,2.0
45,F-BLEAU: Fast Black-box Leakage Estimation,"Giovanni Cherubin, Konstantinos Chatzikokolakis, Catuscia Palamidessi",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835250,https://github.com/gchers/fbleau,1,2,2,0,1,3,0,7.0,1.0,-1.0,F-BLEAU tool - uses kNN,-1.0,-1.0
46,Helen: Maliciously Secure Coopetitive Learning for Linear Models,"Wenting Zheng, Raluca Ada Popa, Joseph E. Gonzalez, and Ion Stoica",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835215,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,ADMM,-1.0,1.0
47,Measuring and Analyzing Search Engine Poisoning of Linguistic Collisions,"Matthew Joslin, Neng Li, Shuang Hao, Minhui Xue, Haojin Zhu",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835220,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,RNN-LSTM,0.0,2.0
48,NEUZZ: Efficient Fuzzing with Neural Program Smoothing,"Dongdong She, Kexin Pei, Dave Epstein, Junfeng Yang, Baishakhi Ray, and Suman Jana",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835342,https://github.com/Dongdongshe/neuzz,1,2,1,0,1,3,0,4.0,1.0,0.0,NN,2.0,2.0
49,"Neural Cleanse: Identifying and Mitigating
Backdoor Attacks in Neural Networks","Bolun Wang, Yuanshun Yao, Shawn Shan, Huiying Li, Bimal Viswanath, Haitao Zheng, Ben Y. Zhao",,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835365,https://github.com/bolunwang/backdoor,3,2,0,1,0,0,0,7.0,,,DNN,2.0,2.0
50,"New Primitives for Actively-Secure MPC over Rings with Applications
to Private Machine Learning","Ivan Damgård, Daniel Escudero, Tore Frederiksen, Marcel Keller, Peter Scholl, Nikolaj Volgushev",1.0,S&P,2019,https://eprint.iacr.org/2019/599.pdf,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,"SVM , Decision Tree",-1.0,-1.0
51,"Resident Evil: Understanding Residential IP Proxy
as a Dark Service","Xianghang Mi, Xuan Feng, Xiaojing Liao, Baojun Liu, XiaoFeng Wang, Feng Qian, Zhou Li, Sumayah Alrwais, Limin Sun, Ying Liu",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835239,https://github.com/ChaseSecurity/RPaaS,1,1,2,0,0,3,0,1.0,1.0,0.0,"SVM, Random Forest, Decision Tree",2.0,2.0
52,"Short Text, Large Effect: Measuring the Impact of
User Reviews on Android App Security & Privacy","Duc Cuong Nguyen, Erik Derr, Michael Backes, Sven Bugiel",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835383,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,regression models,1.0,1.0
53,"SoK: The Challenges, Pitfalls, and Perils of Using
Hardware Performance Counters for Security","Sanjeev Das, Jan Werner, Manos Antonakakis, Michalis Polychronakis, Fabian Monrose",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835366,https://github.com/UNCSecLab/hpc,1,2,1,0,0,3,0,4.0,1.0,-1.0,"SVM, k-NN, Decision Tree",0.0,1.0
54,"Stealthy Porn: Understanding Real-World
Adversarial Images for Illicit Online Promotion","Kan Yuan, Di Tang, Xiaojing Liao, XiaoFeng Wang, Xuan Feng, Yi Chen, Menghan Sun, Haoran Lu, Kehuan Zhang",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835391,,0,-1,-1,-1,-1,-1,-1,3.0,1.0,0.0,CNN,2.0,2.0
55,"Synesthesia: Detecting Screen Content via Remote
Acoustic Side Channels","Daniel Genkin, Mihir Pattani, Roei Schuster, Eran Tromer",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835386,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,CNN,2.0,2.0
56,"Towards Practical Differentially Private Convex
Optimization","Roger Iyengar, Om Thakkar,Joseph P. Near, Abhradeep Thakurta, Dawn Song, Lun Wang",0.0,S&P,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835258,https://github.com/sunblaze-ucb/dpml-benchmark,1,2,0,0,1,3,1,3.0,1.0,0.0,Approximate Minima Perturbation - proposed algo,-1.0,2.0
57,28 Blinks Later: Tackling Practical Challenges of Eye Movement Biometrics,"Simon Eberz, Giulio Lovisotto, Kasper B. Rasmussen, Vincent Lenders, Ivan Martinovic",,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3354233,https://simonizor.github.io/28blinkslater/,8,-1,-1,-1,-1,-1,-1,8.0,-1.0,0.0,SVM,2.0,2.0
58,"ABS: Scanning Neural Networks for Back-doors by
Artificial Brain Stimulation","Yingqi Liu, Wen-Chuan Lee, Guanhong Tao,Shiqing Ma, Yousra Aafer, Xiangyu Zhang ",0.0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3363216,https://github.com/naiyeleo/ABS,3,1,0,1,0,3,1,7.0,1.0,-1.0,"7 NN different structure models evaluated
NiN
VGG
ResNet32
ResNet110
LeNet
3Conv+2FC
Fast RCNN",2.0,2.0
59,"Adversarial Sensor Attack on LiDAR-based Perception in
Autonomous Driving","Yulong Cao, Chaowei Xiao, Benjamin Cyr, Yimeng Zhou, Won Park, Sara Rampazzi, Qi Alfred Chen, Kevin Fu, Z. Morley Mao",0.0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3339815,,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,NN,2.0,-1.0
60,"AdVersarial: Perceptual Ad Blocking meets
Adversarial Machine Learning","Florian Tramèr, Pascal Dupré, Gili Rusak, Giancarlo Pellegrino, Dan Boneh",,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3354222,https://github.com/ftramer/ad-versarial,1,2,0,1,0,0,0,1.0,1.0,,NN,0.0,1.0
61,"Attacking Graph-based Classification via Manipulating the
Graph Structure","Binghui Wang, Neil Zhenqiang Gong",0.0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3354206,,0,-1,-1,-1,-1,-1,-1,1.0,1.0,-1.0,Graph neural networks,2.0,-1.0
62,Charting the Atack Surface of Trigger-Action IoT Platforms,"Qi Wang, Pubali Datta, Wei Yang, Si Liu, Adam Bates, Carl A. Gunter",0.0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3345662,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,"Support Vector Machine, Random Forest,
Multilayer Perceptron and Logistic Regression",1.0,2.0
63,"DeepIntent: Deep Icon-Behavior Learning for Detecting
Intention-Behavior Discrepancy in Mobile Apps","Shengqu Xi, Shao Yang, Xusheng Xiao, Yuan Yao, Yayuan Xiong, Fengyuan Xu, Haoyu Wang, Peng Gao, Zhuotao Liu, Feng Xu, Jian Lu",0.0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3363193,https://github.com/deepintent-ccs/DeepIntent,1,2,0,0,0,0,0,8.0,-1.0,0.0,RNN,2.0,2.0
64,"DeMiCPU: Device Fingerprinting with Magnetic Signals
Radiated by CPU","Yushi Cheng, Xiaoyu Ji, Juchuan Zhang, Wenyuan Xu, Yi-Chao Chen",0.0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3339810,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,ensemble model,2.0,2.0
65,"Detecting Fake Accounts in Online Social Networks
at the Time of Registrations","Dong Yuan, Yuanli Miao, Neil Zhenqiang Gong, Zheng Yang, Qi Li, Dawn Song, Qian Wang, Xiao Liang",,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3363198,,0,-1,-1,-1,-1,-1,-1,0.0,-1.0,0.0,"n-gram model, logistic regression, custom graph model",1.0,1.0
66,Effective and Light-Weight Deobfuscation and Semantic-Aware Attack Detection for PowerShell Scripts,"Zhenyuan Li, Qi Alfred Chen, Chunlin Xiong, Yan Chen, Tiantian Zhu, Hai Yang",1.0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3363187,https://github.com/li-zhenyuan/Effective-and-Light-Weight-Deobfuscation-and-Semantic-Aware-Attack-Detection-for-PowerShell-Scripts,1,0,1,0,0,0,0,7.0,1.0,-1.0,"logistic regression with gradient
descent binary classifier",0.0,2.0
67,"Efficient Multi-Key Homomorphic Encryption
with Packed Ciphertexts with Application
to Oblivious Neural Network Inference","Hao Chen, Wei Dai, Miran Kim, Yongsoo Song",3.0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3363207,,0,-1,-1,-1,-1,-1,-1,4.0,1.0,-1.0,CNN,2.0,2.0
68,HideNoSeek: Camouflaging Malicious JavaScript in Benign ASTs,"Aurore Fass, Michael Backes, and Ben Stock",0.0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3345656,https://github.com/Aurore54F/HideNoSeek,3,2,1,0,0,0,0,4.0,0.0,1.0,attacks on classifiers (did not build a model),-1.0,-1.0
69,Latent Backdoor Attacks on Deep Neural Networks,"Yuanshun Yao, Huiying Li, 
Haitao Zheng, Ben Y. Zhao",0.0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3354209,https://github.com/Huiying-Li/Latent-Backdoor,3,2,2,1,1,1,1,7.0,1.0,-1.0,DNN,2.0,2.0
70,Learning to Fuzz from Symbolic Execution with Application to Smart Contracts,"Jingxuan He, Mislav Balunoviƒá, Nodar Ambroladze, Petar Tsankov, Martin Vechev",,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3363230,https://github.com/eth-sri/ilf,1,2,2,1,0,0,0,7.0,1.0,-1.0,"FCN, RNN,GRU",2.0,2.0
71,Lifelong Anomaly Detection Through Unlearning,"Min Du, Zhi Chen, Chang Liu, Rajvardhan Oak,  Dawn Song",1.0,CCS,2019,https://dl.acm.org/doi/pdf/10.1145/3319535.3363226,,-1,-1,-1,-1,-1,-1,-1,2.0,0.0,-1.0,generative machine learning model - introduces exploding loss objective function,-1.0,-1.0
